Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Running Total ($ with Tax)
Self-Sourced,,,,,,
Screws - Assorted M3,"Screws for general building of the arm, 2440 just came in the box, havent used them all.",2240,N/A,Self-Sourced,,0.00
Bearing - 6807 2RS,"Bearings, 47mm OD, 35mm ID, 7mm Thickness. 6pck on aliexpress seemed to be the cheapest price, though that is on sale so if you are reading this and it is no longer on sale anymore, there is an amazon link with a constant 15.99 price, which I actually sourced.",5,N/A,Self-Sourced,"https://www.amazon.com/XIKE-6807-2RS-Bearings-35x47x7mm-Pre-Lubricated/dp/B09D2ZHNPH/ref=sr_1_4?dib=eyJ2IjoiMSJ9.ZzAfdP_VbX8QepO_I6pWmHSu0Qy7Ryg5la8JCgipZrFUZ6EcgzOLDe93yxGKKjMLcg5pY7B3fc-aUtBa3Heh46XVV5KRX38FHD9Zi9DnA4L9JzgpdLhvg3MFvoC1LA5G_RvJK2DyAxmVs8VuNYcNGAVoEh9uXc4snZJ9duCGc6c1S463HJl99tx1OQ0WWsTKAzmjJa3eQVAN5cB6QEUNxP1C49KYRkaY1UgYPcrhRqA.V99ah82ssIbTvXK29m4wziKMs7cQicSE4VbMInqvlaQ&dib_tag=se&keywords=6807%2B2rs%2Bbearing&qid=1768141549&sr=8-4&th=1
https://www.aliexpress.us/item/3256808547952086.html?spm=a2g0o.productlist.main.15.4f792246u1s6Ed&algo_pvid=6e8f2209-d8dd-4355-8b5e-03bb2572f982&algo_exp_id=6e8f2209-d8dd-4355-8b5e-03bb2572f982-14&pdp_ext_f=%7B%22order%22%3A%2257%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.00%215.20%21%21%2141.61%2136.06%21%402103274e17681414857097926ef572%2112000046444491472%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895%3BpisId%3A5000000198683990&curPageLogUid=aeOEVXLjXg1Q&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008734266838%7C_p_origin_prod%3A",0.00
Microcontroller - ESP32,Most ESP32 variants should do as long as they have 36 or more GPIO pins. In this example I am using an ESP32-S3 N18R8,1,N/A,Self-Sourced,https://www.aliexpress.us/item/3256809776335245.html?spm=a2g0o.productlist.main.4.74db7846Oi03gp&aem_p4p_detail=202601110631204038184452692770010139951&algo_pvid=7180b579-4d44-4fb9-9158-5fb26e46f2ad&algo_exp_id=7180b579-4d44-4fb9-9158-5fb26e46f2ad-3&pdp_ext_f=%7B%22order%22%3A%22348%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.29%211.99%21%21%2115.92%2113.84%21%402101c59117681418801827616e5ec3%2112000050714164639%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895%3BpisId%3A5000000198192865&curPageLogUid=GRDrdkb15ClS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009962649997%7C_p_origin_prod%3A&search_p4p_id=202601110631204038184452692770010139951_1,0.00
Electronics (Exluding PCB),,,,,,
"Stepper motor - NEMA-17 size - 200 steps/rev, 12V 350mA","4 Wire, 1.8Deg per Step, with 20 N*cm of torque per phase at a max current of 350mAh (0.35A). RoHS certified. ",5,14.00,70.00,"Stepper motor - NEMA-17 size - 200 steps/rev, 12V 350mA",75.25
Stepper Motor Driver - A4988,"Stepper Motor Driver, 1.2A, 5 Step resolutions, Adjustable maximum current output. Overheat Thermal shutdown and crossover-current protection. Comes in a pack of 5 for the cheapest sourcing price included both amazon link that had a stable price of 10.19. along with an aliexpress link which often goes on sale for cheaper but can sometimes be 13.95. The price listed is the aliexpress link while on sale",5,1.02,5.12,"Amazon.com: A4988 Stepper Motor Driver 
https://www.aliexpress.us/item/3256808219893938.html?spm=a2g0o.productlist.main.1.55eadUShdUShQA&algo_pvid=b8027463-682a-4da5-9792-759aa88e3ade&algo_exp_id=b8027463-682a-4da5-9792-759aa88e3ade-0&pdp_ext_f=%7B%22order%22%3A%22400%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008406208690%22%2C%22orig_item_id%22%3A%221005007348183789%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.03%211.93%21%21%2127.96%2113.42%21%4021033d9d17681409534494580ed397%2112000044908792152%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895&curPageLogUid=ozd9t4rogPcP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008406208690%7C_p_origin_prod%3A1005007348183789",80.75
Limit Switch,"Minimum quantity on LCSC was 5, as usual",3,0.08,0.41,https://www.lcsc.com/product-detail/C50395955.html,81.19
"Buck Converter - 12v to 5v, 5A",Buck converter to step down the 12v for the steppers to 5v for the other electronics like the esp and the drivers.,1,2.96,2.96,https://www.aliexpress.us/item/3256810527502423.html?spm=a2g0o.productlist.main.19.36b36e49B6oH7v&algo_pvid=5a880126-7805-48c0-80b8-6fa8b46f7061&algo_exp_id=5a880126-7805-48c0-80b8-6fa8b46f7061-16&pdp_ext_f=%7B%22order%22%3A%2216%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.10%212.96%21%21%2135.32%2120.49%21%402101c59117693550075298013eefb0%2112000053277138671%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29919%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895&curPageLogUid=wrW3I3VnBbO7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010713817175%7C_p_origin_prod%3A,84.37
Wire Connectors - JST xh 2.54 2Pin 10pcs,Connectors for the Limit Switches,1,1.51,1.51,https://www.aliexpress.us/item/3256808413328991.html?spm=a2g0o.productlist.0.0.53b956caUWCTFb&mp=1&pdp_npi=6%40dis%21USD%21USD%202.02%21USD%202.02%21%21USD%202.02%21%21%21%402103274e17693706596855769e19b5%2112000045895734795%21ct%21US%216495142446%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&_gl=1*5d1mtx*_gcl_au*MTc2MzkwODE0Ni4xNzY5MzQ1ODAw*_ga*MjAyMTM2NjY0LjE3NjkzNTE3NjA.*_ga_VED1YSGNC7*czE3NjkzNjg2NDIkbzQkZzEkdDE3NjkzNzA2MjkkajU5JGwwJGgw&gatewayAdapt=glo2usa,85.99
